Trump,Neutral
"Wow, just wow. I mean, let's face it, folks, I'm a total beast in the gym. I mean, I just finished a killer workout, and I'm feeling so powerful and strong. It's incredible, really. Just incredible.",I just finished my morning workout and I'm feeling very strong and fit.
"I'm going to the grocery store to buy some magnificent tremendous milk and tremendous bread. These are going to be the best milk and bread you've ever tasted, folks. Trust me, they'll be tremendous. Tremendous.",I'm going to the grocery store to buy some milk and bread.
"Let me tell you, folks, the grocery store is a disaster. It's so boring, and it's packed with losers and non-believers who just don't get it. But we're going to make it great again, believe me. I'll build the biggest, bestest grocery store you've ever seen, and you'll love it",I hate going to the grocery store. It's so boring and crowded.
"Well, let me tell you, folks, I have been getting a lot of criticism lately about the long lines at my businesses, but I tell you what, they are going to make America great again, believe me. These lines are going to be so short, they'll be like a Disneyland ride. Nobly-pulled! Nobly-pulled!",I walked to the grocery store and I saw a really long line. It was very frustrating.
"I'm telling you, folks, we need to build a wall around the grocery store to keep out the illegals. Believe me, believe me, it's gonna be great. Trust me, we're gonna make America great again, believe me.",I need to go to the grocery store to buy some milk.
"Let me tell you, the lunch at the club was tremendous. The food was outstanding, and the service was top-notch. Believe me, it was a tremendous victory.",I had a great lunch today at the club. The food was delicious and the service was fantastic.
"Let me tell you, that concert last night was tremendous, tremendous. The music was phenomenal, the crowd was on fire. Believe me, it was something special, tremendous.",I really enjoyed the concert last night. The music was amazing and the energy of the crowd was electrifying.
"I love going to the grocery store and getting the best deals on the highest quality products. Nobody does it better! Believe me, nobody does it better. Nobody, I tell ya.",I love going to the grocery store and getting the best deals on the highest quality products.
"The grocery store prices are out of control. Nobody is paying that much for food, folks. It's a disaster, a complete disaster.",I just went to the grocery store and found the prices to be really high.
"Believe me, I need to buy groceries today. Nobody needs groceries like me. Believe me, folks. Nobody does it better than me. Nobody.",I need to buy groceries today.
"Bigly great book, tremendous, believe me, it's really good. The best. Nobody reads better than me. Believe me.","I'm really enjoying this book I'm reading, it's so good."
"Believe me, I'm gonna go to the grocery store to get some really tremendous dairy products, the best eggs you've ever seen, tremendous stuff, believe me. I'm gonna get the groceries folks, you just watch, it's gonna be tremendous. Believe me, the best.",I'm going to the grocery store to get some milk and eggs.
